DDATE,custitem_producttybe,URL,varieties,combined,totasecs,category,USerID,previousPage
2016-04-21 00:48:58.326,White-Wine,,,White-Wine,1,type,5,White-Blend
2016-04-21 00:04:55.558,Red-Wine,,,Red-Wine,,type,104,
2016-04-21 00:05:57.238,Red-Wine,,,Red-Wine,62,type,104,Red-Wine
2016-04-21 00:06:25.021,Red-Wine,,,Red-Wine,28,type,104,Red-Wine
2016-04-21 00:07:05.591,Red-Wine,,,Red-Wine,40,type,104,Red-Wine
2016-04-21 00:23:01.4,Mixed-Red-and-White,,,Mixed-Red-and-White,,type,29,
2016-04-21 00:23:17.434,Mixed-Red-and-White,,,Mixed-Red-and-White,16,type,29,Mixed-Red-and-White
2016-04-21 00:23:36.22,Mixed-Red-and-White,,,Mixed-Red-and-White,19,type,29,Mixed-Red-and-White
2016-04-21 00:24:06.02,Mixed-Red-and-White,,,Mixed-Red-and-White,30,type,29,Mixed-Red-and-White
2016-04-21 00:26:19.147,Red-Wine,,,Red-Wine,133,type,29,Mixed-Red-and-White
2016-04-21 00:26:26.522,Red-Wine,,,Red-Wine,7,type,29,Red-Wine
2016-04-21 00:26:35.845,Red-Wine,,,Red-Wine,9,type,29,Red-Wine
2016-04-21 00:27:09.887,Red-Wine,,,Red-Wine,34,type,29,Red-Wine
2016-04-21 00:27:40.571,Red-Wine,,,Red-Wine,31,type,29,Red-Wine
2016-04-21 00:28:06.682,Red-Wine,,,Red-Wine,26,type,29,Red-Wine
2016-04-21 00:28:36.216,Red-Wine,,,Red-Wine,30,type,29,Red-Wine
2016-04-21 00:30:05.81,Red-Wine,,,Red-Wine,89,type,29,Red-Wine
2016-04-21 00:31:04.016,Mixed-Red-and-White,,,Mixed-Red-and-White,59,type,29,Red-Wine
2016-04-21 00:31:36.088,Mixed-Red-and-White,,,Mixed-Red-and-White,32,type,29,Mixed-Red-and-White
2016-04-21 00:22:07.132,Red-Wine,,,Red-Wine,,type,6,
2016-04-21 00:25:23.343,Red-Wine,,,Red-Wine,196,type,6,Red-Wine
2016-04-21 00:25:48.317,Red-Wine,,Malbec,Red-WineMalbec,25,type,6,Red-Wine
2016-04-21 00:25:57.556,Red-Wine,,Cabernet-Malbec,Red-WineCabernet-Malbec,9,type,6,Red-WineMalbec
2016-04-21 00:26:11.848,Red-Wine,,Grenache-Shiraz-Mataro,Red-WineGrenache-Shiraz-Mataro,14,type,6,Red-WineCabernet-Malbec
2016-04-21 00:27:02.216,Red-Wine,,Tempranillo-Grenache,Red-WineTempranillo-Grenache,51,type,6,Red-WineGrenache-Shiraz-Mataro
2016-04-21 00:27:32.475,Red-Wine,,Shiraz-Grenache,Red-WineShiraz-Grenache,30,type,6,Red-WineTempranillo-Grenache
2016-04-21 00:28:33.133,,,Bordeaux-Blend,Bordeaux-Blend,13,variety,6,Red-WineShiraz-Grenache
2016-04-21 00:28:43.624,,,Cabernet-Malbec,Cabernet-Malbec,10,variety,6,Bordeaux-Blend
2016-04-21 00:28:52.716,,,Cabernet-Shiraz-Merlot,Cabernet-Shiraz-Merlot,9,variety,6,Cabernet-Malbec
2016-04-21 00:29:02.34,,,Champagne,Champagne,10,variety,6,Cabernet-Shiraz-Merlot
2016-04-21 00:29:18.662,,,Mixed-Case-%252B-Gift,Mixed-Case-%252B-Gift,16,variety,6,Champagne
2016-04-21 00:29:30.053,,,Mixed-Red,Mixed-Red,12,variety,6,Mixed-Case-%252B-Gift
2016-04-21 00:29:55.936,,Big-House-Red-Mixed-Case-14-Bottles,,Big-House-Red-Mixed-Case-14-Bottles,25,wine,6,Mixed-Red
2016-04-21 00:29:56.387,,,Mixed-Red,Mixed-Red,1,variety,6,Big-House-Red-Mixed-Case-14-Bottles
2016-04-21 00:30:09.499,,5-Star-Halliday-Winery-Mega-Bundle-14-Bottles,,5-Star-Halliday-Winery-Mega-Bundle-14-Bottles,13,wine,6,Mixed-Red
2016-04-21 00:30:09.945,,,Mixed-Red,Mixed-Red,0,variety,6,5-Star-Halliday-Winery-Mega-Bundle-14-Bottles
2016-04-21 00:30:59.633,,Mystery-Barossa-Shiraz-2012-6-Bottles,,Mystery-Barossa-Shiraz-2012-6-Bottles,50,wine,6,Mixed-Red
2016-04-21 00:31:01.712,,,Shiraz,Shiraz,2,variety,6,Mystery-Barossa-Shiraz-2012-6-Bottles
2016-04-21 00:52:08.703,,Cross-Quay-Eden-Valley-Pinot-Gris-2015-12-Bottles,,Cross-Quay-Eden-Valley-Pinot-Gris-2015-12-Bottles,84,wine,26,
2016-04-21 00:52:09.44,,,Pinot-Grigio,Pinot-Grigio,1,variety,26,Cross-Quay-Eden-Valley-Pinot-Gris-2015-12-Bottles
2016-04-21 00:52:09.861,White-Wine,,,White-Wine,0,type,26,Pinot-Grigio
2016-04-21 00:09:19.263,,Malindi-Vintners-Stranded-Dune-Shiraz-2013-12-Bottles,,Malindi-Vintners-Stranded-Dune-Shiraz-2013-12-Bottles,2,wine,117,
2016-04-21 00:09:19.596,,,Shiraz,Shiraz,0,variety,117,Malindi-Vintners-Stranded-Dune-Shiraz-2013-12-Bottles
2016-04-21 00:41:09.287,Mixed-Red-and-White,,,Mixed-Red-and-White,,type,13,
2016-04-21 00:42:28.589,Mixed-Red-and-White,,,Mixed-Red-and-White,79,type,13,Mixed-Red-and-White
2016-04-21 00:43:13.048,,Mystery-Mixed-Selection-12-Bottles,,Mystery-Mixed-Selection-12-Bottles,45,wine,13,Mixed-Red-and-White
2016-04-21 00:43:13.562,,,Mixed-Red-and-White,Mixed-Red-and-White,0,variety,13,Mystery-Mixed-Selection-12-Bottles
2016-04-21 00:45:07.074,Mixed-Red-and-White,,,Mixed-Red-and-White,75,type,13,Mixed-Red-and-White
2016-04-21 00:45:43.181,White-Wine,,,White-Wine,36,type,13,Mixed-Red-and-White
2016-04-21 00:46:03.308,White-Wine,,,White-Wine,20,type,13,White-Wine
2016-04-21 00:46:40.571,,Wonderwall-Margaret-River-Sauvignon-Blanc-2014-12-Bottles,,Wonderwall-Margaret-River-Sauvignon-Blanc-2014-12-Bottles,37,wine,13,White-Wine
2016-04-21 00:46:41.114,,,Sauvignon-Blanc-Semillon,Sauvignon-Blanc-Semillon,1,variety,13,Wonderwall-Margaret-River-Sauvignon-Blanc-2014-12-Bottles
2016-04-21 00:47:31.502,,El-Circo-Tempranillo-2014-12-Bottles,,El-Circo-Tempranillo-2014-12-Bottles,2,wine,13,Sauvignon-Blanc-Semillon
2016-04-21 00:47:32.041,,,Tempranillo,Tempranillo,1,variety,13,El-Circo-Tempranillo-2014-12-Bottles
2016-04-21 00:21:14.329,,,Shiraz-Cabernet-Sauvignon,Shiraz-Cabernet-Sauvignon,,variety,49,
2016-04-21 00:21:15.155,Mixed-Red-and-White,,,Mixed-Red-and-White,1,type,49,Shiraz-Cabernet-Sauvignon
2016-04-21 00:24:15.274,,Biscay-Road-McLarenVale-Shiraz-2014-12-Bottles,,Biscay-Road-McLarenVale-Shiraz-2014-12-Bottles,180,wine,49,Mixed-Red-and-White
2016-04-21 00:24:17.307,,,Shiraz,Shiraz,2,variety,49,Biscay-Road-McLarenVale-Shiraz-2014-12-Bottles
2016-04-21 00:28:13.707,,Grant-Burge-Batch-28-Shiraz-2014-12-Bottles,,Grant-Burge-Batch-28-Shiraz-2014-12-Bottles,236,wine,49,Shiraz
2016-04-21 00:28:14.553,,,Shiraz,Shiraz,1,variety,49,Grant-Burge-Batch-28-Shiraz-2014-12-Bottles
2016-04-21 00:28:40.154,,,Shiraz,Shiraz,26,variety,49,Shiraz
2016-04-21 00:29:00.999,,,Shiraz,Shiraz,20,variety,49,Shiraz
2016-04-21 00:29:27.443,,,Shiraz,Shiraz,27,variety,49,Shiraz
2016-04-21 00:30:21.742,,,Shiraz,Shiraz,54,variety,49,Shiraz
2016-04-21 00:30:43.422,,,Shiraz,Shiraz,22,variety,49,Shiraz
2016-04-21 00:42:17.849,,Mega-Red-Mix-with-Johnnie-Walker-12-Bottles,,Mega-Red-Mix-with-Johnnie-Walker-12-Bottles,,wine,89,
2016-04-21 00:42:23.508,,,Mixed-case-%2B-spirits,Mixed-case-%2B-spirits,6,variety,89,Mega-Red-Mix-with-Johnnie-Walker-12-Bottles
2016-04-21 00:44:42.606,Mixed-Red-and-White,,,Mixed-Red-and-White,139,type,89,Mixed-case-%2B-spirits
2016-04-21 00:01:01.226,,Ashton-Gate-SA-Shiraz-Cabernet-2014-12-Bottles,,Ashton-Gate-SA-Shiraz-Cabernet-2014-12-Bottles,6,wine,56,
2016-04-21 00:01:01.522,,,Cabernet-Shiraz,Cabernet-Shiraz,0,variety,56,Ashton-Gate-SA-Shiraz-Cabernet-2014-12-Bottles
2016-04-21 00:01:11.202,Red-Wine,,,Red-Wine,10,type,56,Cabernet-Shiraz
2016-04-21 00:26:59.165,,,Pinot-Noir,Pinot-Noir,,variety,8,
2016-04-21 00:27:08.331,,,Sauvignon-Blanc-Pinot-Gris,Sauvignon-Blanc-Pinot-Gris,9,variety,8,Pinot-Noir
2016-04-21 00:27:08.562,,,Pinot-Gris-SLASH-Pinot-Grigio,Pinot-Gris-SLASH-Pinot-Grigio,0,variety,8,Sauvignon-Blanc-Pinot-Gris
2016-04-21 00:37:44.269,,Lindemans-St-George-Cabernet-2012-6-Bottles-1,,Lindemans-St-George-Cabernet-2012-6-Bottles-1,1,wine,8,Pinot-Gris-SLASH-Pinot-Grigio
2016-04-21 00:37:44.568,,,Cabernet-Sauvignon,Cabernet-Sauvignon,0,variety,8,Lindemans-St-George-Cabernet-2012-6-Bottles-1
2016-04-21 00:41:09.508,,dArenberg-Custodian-McLaren-Vale-Grenache-2012-12-Bottles,,dArenberg-Custodian-McLaren-Vale-Grenache-2012-12-Bottles,6,wine,8,Cabernet-Sauvignon
2016-04-21 00:41:09.763,,,Grenache,Grenache,0,variety,8,dArenberg-Custodian-McLaren-Vale-Grenache-2012-12-Bottles
2016-04-21 00:41:10.22,,,Sauvignon-Blanc-Pinot-Gris,Sauvignon-Blanc-Pinot-Gris,1,variety,8,Grenache
2016-04-21 00:42:17.647,,,Cabernet-Sauvignon,Cabernet-Sauvignon,1,variety,8,Sauvignon-Blanc-Pinot-Gris
2016-04-21 00:42:31.202,Red-Wine,,Cabernet-Sauvignon,Red-WineCabernet-Sauvignon,14,type,8,Cabernet-Sauvignon
2016-04-21 00:42:34.753,Red-Wine,,Cabernet-Sauvignon,Red-WineCabernet-Sauvignon,3,type,8,Red-WineCabernet-Sauvignon
2016-04-21 00:42:36.824,Red-Wine,,Cabernet-Sauvignon,Red-WineCabernet-Sauvignon,2,type,8,Red-WineCabernet-Sauvignon
