FEAR
abuse
be careful
big lie
can't afford
can't be done
climate change
corrupt
destroying
destructive
disaster
don’t have a clue
down the drain
fail
fear
fraud
hate
hatred
horrible
How the hell
impossible
kill
lie
losers
nonsense
not great
nothing but problems
stupid
terrible
terrorism
threaten
tired
unsalvageable
vicious
waste
weak
won’t be able
zero chance
at risk
