HOPE
trust
hope
opportunity
believe
love
light
happiness
justice
Dream
endure
promise
compassion
faith
ambition
belief
security
freedom
passion
alive
kindness
peace
miracle
potential
unlimited
trust
optimistic
shining
heart
inspire
purpose
heal
